Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Days_To_Expiry,Quantity_Category
88,Vegetables,22,2025-03-21,491,Supermarket,Samanthabury,Non-Vegetarian,Dinner,-149,Large
89,Chicken,3,2025-03-27,844,Grocery Store,Olsenstad,Vegan,Lunch,-143,Small
90,Bread,29,2025-03-23,477,Supermarket,East Jacobchester,Vegan,Breakfast,-147,Large
91,Vegetables,9,2025-03-22,275,Supermarket,Brittanyport,Vegetarian,Breakfast,-148,Medium
92,Chicken,42,2025-03-20,752,Grocery Store,East Heatherport,Vegetarian,Breakfast,-150,Large
93,Salad,49,2025-03-20,264,Catering Service,New Richard,Vegetarian,Lunch,-150,Large
94,Rice,35,2025-03-16,722,Restaurant,Linchester,Vegetarian,Lunch,-154,Large
95,Pasta,19,2025-03-24,120,Restaurant,New Lisa,Vegan,Snacks,-146,Medium
96,Dairy,5,2025-03-25,656,Restaurant,South Tiffanyfort,Non-Vegetarian,Breakfast,-145,Medium
97,Rice,44,2025-03-21,346,Grocery Store,Thomasville,Vegetarian,Dinner,-149,Large
98,Salad,26,2025-03-29,632,Supermarket,Davidville,Vegetarian,Breakfast,-141,Large
99,Bread,8,2025-03-28,162,Restaurant,Penabury,Non-Vegetarian,Dinner,-142,Medium
100,Vegetables,22,2025-03-18,647,Restaurant,West Kara,Vegan,Breakfast,-152,Large
101,Dairy,35,2025-03-23,538,Restaurant,Jasonmouth,Non-Vegetarian,Dinner,-147,Large
102,Rice,35,2025-03-19,584,Supermarket,Moralesside,Vegetarian,Snacks,-151,Large
103,Bread,35,2025-03-30,391,Supermarket,South Jerryside,Non-Vegetarian,Snacks,-140,Large
104,Dairy,3,2025-03-29,468,Supermarket,East Johnburgh,Non-Vegetarian,Dinner,-141,Small
105,Rice,2,2025-03-24,698,Grocery Store,Phillipsmouth,Non-Vegetarian,Breakfast,-146,Small
106,Rice,31,2025-03-19,253,Catering Service,Sharonton,Vegetarian,Breakfast,-151,Large
107,Salad,29,2025-03-25,464,Catering Service,Port Jacob,Vegetarian,Breakfast,-145,Large
108,Fruits,22,2025-03-25,835,Catering Service,Thorntonbury,Non-Vegetarian,Snacks,-145,Large
109,Fruits,7,2025-03-24,998,Grocery Store,Joshuastad,Vegan,Dinner,-146,Medium
110,Salad,49,2025-03-17,354,Catering Service,South Alicia,Vegan,Dinner,-153,Large
111,Soup,13,2025-03-17,904,Grocery Store,West Miaside,Vegetarian,Snacks,-153,Medium
112,Chicken,32,2025-03-25,308,Catering Service,Brittanyside,Vegetarian,Lunch,-145,Large
113,Soup,14,2025-03-16,623,Supermarket,Latoyaberg,Vegetarian,Breakfast,-154,Medium
114,Vegetables,28,2025-03-27,906,Supermarket,West Kevin,Vegan,Breakfast,-143,Large
115,Pasta,8,2025-03-26,963,Supermarket,East Bernard,Vegan,Lunch,-144,Medium
116,Soup,32,2025-03-23,570,Supermarket,Lake Vanessa,Vegetarian,Lunch,-147,Large
117,Soup,32,2025-03-21,530,Catering Service,Johnstonhaven,Non-Vegetarian,Snacks,-149,Large
118,Dairy,42,2025-03-28,863,Restaurant,Port Michael,Vegan,Lunch,-142,Large
119,Bread,49,2025-03-28,135,Catering Service,East Candace,Non-Vegetarian,Breakfast,-142,Large
120,Rice,30,2025-03-18,785,Catering Service,Lindseybury,Vegan,Lunch,-152,Large
121,Vegetables,16,2025-03-30,314,Restaurant,Rodriguezfurt,Non-Vegetarian,Dinner,-140,Medium
122,Fruits,7,2025-03-20,846,Supermarket,South Thomasville,Vegan,Snacks,-150,Medium
123,Soup,11,2025-03-25,148,Grocery Store,Annahaven,Vegetarian,Lunch,-145,Medium
124,Salad,50,2025-03-19,909,Restaurant,Sheilaburgh,Vegetarian,Snacks,-151,Large
125,Rice,21,2025-03-17,982,Grocery Store,Westbury,Vegan,Dinner,-153,Large
126,Dairy,27,2025-03-18,54,Supermarket,Lake Rachael,Vegan,Lunch,-152,Large
127,Rice,48,2025-03-30,763,Restaurant,Josephburgh,Vegan,Snacks,-140,Large
128,Rice,39,2025-03-22,235,Catering Service,Gutierrezshire,Vegetarian,Snacks,-148,Large
129,Chicken,26,2025-03-21,798,Grocery Store,North Amanda,Vegan,Dinner,-149,Large
130,Vegetables,47,2025-03-29,997,Catering Service,East Rossside,Vegan,Breakfast,-141,Large
131,Fish,16,2025-03-18,241,Catering Service,Devinmouth,Vegan,Dinner,-152,Medium
132,Soup,20,2025-03-19,840,Restaurant,Cisnerostown,Non-Vegetarian,Snacks,-151,Medium
133,Rice,28,2025-03-19,795,Catering Service,Brownberg,Vegan,Lunch,-151,Large
134,Rice,1,2025-03-16,39,Supermarket,Brittanyville,Vegan,Dinner,-154,Small
135,Rice,44,2025-03-23,980,Restaurant,Port Melissa,Vegan,Lunch,-147,Large
136,Bread,29,2025-03-17,723,Supermarket,Jessicaland,Vegan,Dinner,-153,Large
137,Pasta,29,2025-03-19,87,Grocery Store,West Adam,Vegetarian,Snacks,-151,Large
138,Soup,24,2025-03-18,558,Catering Service,North Sharonberg,Non-Vegetarian,Snacks,-152,Large
139,Rice,3,2025-03-20,446,Catering Service,Port Richardshire,Vegetarian,Dinner,-150,Small
140,Chicken,18,2025-03-16,967,Grocery Store,Coleburgh,Vegan,Dinner,-154,Medium
141,Dairy,33,2025-03-29,702,Supermarket,Lake Mistyton,Non-Vegetarian,Lunch,-141,Large
142,Soup,41,2025-03-29,368,Grocery Store,North Lindseychester,Vegetarian,Snacks,-141,Large
143,Fish,18,2025-03-24,938,Restaurant,Hollyhaven,Non-Vegetarian,Lunch,-146,Medium
144,Bread,18,2025-03-18,810,Catering Service,Lake Jason,Vegan,Lunch,-152,Medium
145,Rice,12,2025-03-29,751,Restaurant,East Richardside,Vegan,Lunch,-141,Medium
146,Chicken,17,2025-03-25,172,Grocery Store,Garciaside,Vegan,Lunch,-145,Medium
147,Vegetables,47,2025-03-30,619,Grocery Store,North Katelynland,Non-Vegetarian,Breakfast,-140,Large
148,Pasta,16,2025-03-18,650,Restaurant,Garzaville,Non-Vegetarian,Breakfast,-152,Medium
149,Fish,18,2025-03-20,816,Supermarket,New Jamesburgh,Vegetarian,Breakfast,-150,Medium
150,Fish,50,2025-03-28,332,Restaurant,West Whitneymouth,Vegan,Snacks,-142,Large
151,Chicken,19,2025-03-23,902,Supermarket,Port Robertport,Vegetarian,Dinner,-147,Medium
152,Fish,46,2025-03-24,58,Grocery Store,North Kevinhaven,Non-Vegetarian,Dinner,-146,Large
153,Fish,20,2025-03-21,737,Restaurant,Port Andrea,Vegetarian,Breakfast,-149,Medium
154,Pasta,46,2025-03-30,4,Grocery Store,Mendezmouth,Vegan,Breakfast,-140,Large
155,Fruits,20,2025-03-20,602,Grocery Store,North Destiny,Vegan,Dinner,-150,Medium
156,Fish,24,2025-03-19,970,Catering Service,Jeffreybury,Vegetarian,Snacks,-151,Large
157,Chicken,37,2025-03-20,600,Catering Service,Meganshire,Vegan,Breakfast,-150,Large
158,Bread,22,2025-03-30,687,Catering Service,North James,Vegetarian,Breakfast,-140,Large
159,Pasta,7,2025-03-27,653,Catering Service,Cameronside,Vegan,Lunch,-143,Medium
160,Rice,27,2025-03-23,367,Grocery Store,Deckermouth,Vegetarian,Snacks,-147,Large
161,Vegetables,32,2025-03-20,414,Supermarket,New Matthew,Non-Vegetarian,Breakfast,-150,Large
162,Pasta,50,2025-03-21,826,Supermarket,Lake Karenfurt,Non-Vegetarian,Breakfast,-149,Large
163,Bread,45,2025-03-16,251,Restaurant,East Terrancemouth,Vegetarian,Dinner,-154,Large
164,Dairy,22,2025-03-27,432,Restaurant,Carolchester,Vegan,Dinner,-143,Large
165,Bread,22,2025-03-28,90,Supermarket,Lake Kristentown,Vegetarian,Lunch,-142,Large
166,Soup,9,2025-03-17,58,Grocery Store,North Kevinhaven,Vegan,Lunch,-153,Medium
167,Fish,4,2025-03-20,134,Supermarket,West Melissa,Vegetarian,Lunch,-150,Small
168,Salad,26,2025-03-20,306,Catering Service,North Keith,Non-Vegetarian,Lunch,-150,Large
169,Fruits,18,2025-03-20,336,Supermarket,East Sandra,Vegan,Snacks,-150,Medium
170,Fruits,49,2025-03-17,403,Grocery Store,Jeremiahfort,Vegan,Breakfast,-153,Large
171,Salad,25,2025-03-22,103,Catering Service,Port Michaelshire,Vegetarian,Snacks,-148,Large
172,Rice,45,2025-03-28,826,Supermarket,Lake Karenfurt,Non-Vegetarian,Breakfast,-142,Large
173,Soup,17,2025-03-19,538,Restaurant,Jasonmouth,Vegan,Dinner,-151,Medium
174,Chicken,23,2025-03-22,903,Catering Service,Lake Kari,Vegan,Breakfast,-148,Large
175,Dairy,26,2025-03-30,465,Restaurant,Johnton,Vegetarian,Breakfast,-140,Large
176,Fish,19,2025-03-30,316,Supermarket,Williamsfort,Non-Vegetarian,Snacks,-140,Medium
177,Dairy,22,2025-03-22,863,Restaurant,Port Michael,Vegan,Breakfast,-148,Large
178,Dairy,47,2025-03-21,847,Supermarket,Williamsonmouth,Vegan,Breakfast,-149,Large
179,Bread,11,2025-03-27,601,Catering Service,Port Troychester,Vegetarian,Breakfast,-143,Medium
180,Salad,35,2025-03-28,7,Restaurant,Lake Christopherburgh,Vegan,Dinner,-142,Large
181,Rice,35,2025-03-16,47,Supermarket,East Andrewland,Non-Vegetarian,Lunch,-154,Large
182,Soup,29,2025-03-18,247,Catering Service,Port Aaron,Vegan,Breakfast,-152,Large
183,Salad,15,2025-03-30,730,Supermarket,Benjaminstad,Vegan,Snacks,-140,Medium
184,Salad,7,2025-03-29,182,Grocery Store,Port Jeffrey,Vegetarian,Dinner,-141,Medium
185,Soup,19,2025-03-27,498,Grocery Store,East Craig,Non-Vegetarian,Lunch,-143,Medium
186,Pasta,48,2025-03-17,306,Catering Service,North Keith,Vegetarian,Breakfast,-153,Large
187,Dairy,38,2025-03-21,910,Restaurant,Leeburgh,Non-Vegetarian,Snacks,-149,Large
188,Soup,4,2025-03-20,55,Grocery Store,Danachester,Vegan,Breakfast,-150,Small
189,Salad,7,2025-03-20,948,Supermarket,West Lisamouth,Vegetarian,Breakfast,-150,Medium
190,Salad,25,2025-03-22,262,Supermarket,New Carol,Non-Vegetarian,Snacks,-148,Large
191,Salad,13,2025-03-22,508,Restaurant,Walkerfurt,Vegan,Lunch,-148,Medium
192,Vegetables,5,2025-03-17,320,Supermarket,Lake Jeffreytown,Vegan,Snacks,-153,Medium
193,Pasta,25,2025-03-21,354,Catering Service,South Alicia,Vegan,Breakfast,-149,Large
194,Chicken,39,2025-03-26,31,Grocery Store,South Kellyberg,Non-Vegetarian,Lunch,-144,Large
195,Vegetables,31,2025-03-25,847,Supermarket,Williamsonmouth,Non-Vegetarian,Snacks,-145,Large
196,Fish,27,2025-03-28,989,Grocery Store,North Lauren,Non-Vegetarian,Breakfast,-142,Large
197,Rice,21,2025-03-24,453,Grocery Store,East Timothy,Vegetarian,Breakfast,-146,Large
198,Bread,50,2025-03-23,287,Catering Service,Jefferyside,Vegetarian,Breakfast,-147,Large
199,Vegetables,16,2025-03-17,244,Supermarket,Toddberg,Vegan,Breakfast,-153,Medium
200,Bread,3,2025-03-24,794,Supermarket,Woodport,Non-Vegetarian,Dinner,-146,Small
201,Soup,35,2025-03-29,330,Restaurant,Jamesport,Vegetarian,Dinner,-141,Large
202,Dairy,17,2025-03-18,319,Restaurant,Lake Amymouth,Vegetarian,Lunch,-152,Medium
203,Pasta,8,2025-03-24,215,Grocery Store,New Curtis,Vegetarian,Breakfast,-146,Medium
204,Fish,11,2025-03-26,896,Grocery Store,Weberfurt,Non-Vegetarian,Lunch,-144,Medium
205,Dairy,13,2025-03-20,22,Catering Service,Port Lisamouth,Vegan,Breakfast,-150,Medium
206,Rice,28,2025-03-29,931,Supermarket,South Allisonburgh,Non-Vegetarian,Breakfast,-141,Large
207,Salad,42,2025-03-23,523,Restaurant,Lake Lorrainefort,Vegetarian,Dinner,-147,Large
208,Rice,27,2025-03-26,215,Grocery Store,New Curtis,Vegetarian,Dinner,-144,Large
209,Fish,31,2025-03-26,422,Catering Service,Smithfort,Non-Vegetarian,Dinner,-144,Large
210,Fruits,17,2025-03-28,990,Catering Service,Lake Latasha,Vegetarian,Breakfast,-142,Medium
211,Chicken,37,2025-03-22,242,Restaurant,Michaelport,Vegetarian,Snacks,-148,Large
212,Salad,33,2025-03-20,228,Supermarket,Andrewsmouth,Non-Vegetarian,Dinner,-150,Large
213,Fruits,20,2025-03-26,122,Catering Service,Tyronebury,Non-Vegetarian,Snacks,-144,Medium
214,Soup,9,2025-03-28,24,Supermarket,Hestermouth,Vegan,Breakfast,-142,Medium
215,Bread,50,2025-03-30,315,Restaurant,Lake Andrewmouth,Vegetarian,Snacks,-140,Large
216,Vegetables,33,2025-03-16,206,Catering Service,Port Emilyburgh,Vegetarian,Dinner,-154,Large
217,Soup,42,2025-03-23,290,Supermarket,Bradleyport,Vegetarian,Lunch,-147,Large
218,Fish,38,2025-03-24,159,Grocery Store,North Brooke,Vegan,Snacks,-146,Large
219,Fish,26,2025-03-18,323,Restaurant,Jasmineberg,Vegetarian,Snacks,-152,Large
220,Pasta,18,2025-03-24,976,Restaurant,Davisview,Vegan,Snacks,-146,Medium
221,Bread,11,2025-03-19,211,Restaurant,Lake James,Vegan,Snacks,-151,Medium
222,Vegetables,23,2025-03-20,333,Restaurant,Port Heidiland,Non-Vegetarian,Breakfast,-150,Large
223,Bread,38,2025-03-17,524,Grocery Store,West Amandafurt,Vegan,Snacks,-153,Large
224,Fruits,29,2025-03-19,556,Catering Service,Brittanyland,Non-Vegetarian,Snacks,-151,Large
225,Fish,26,2025-03-24,340,Grocery Store,Murrayborough,Vegan,Dinner,-146,Large
226,Rice,26,2025-03-22,242,Restaurant,Michaelport,Non-Vegetarian,Snacks,-148,Large
227,Vegetables,25,2025-03-29,923,Supermarket,Jonestown,Non-Vegetarian,Breakfast,-141,Large
228,Rice,12,2025-03-29,98,Supermarket,Gardnerfort,Vegetarian,Snacks,-141,Medium
229,Pasta,26,2025-03-22,210,Grocery Store,Paulmouth,Non-Vegetarian,Dinner,-148,Large
230,Fruits,17,2025-03-16,596,Restaurant,Zimmermanville,Vegetarian,Breakfast,-154,Medium
231,Rice,33,2025-03-29,782,Supermarket,North Mary,Non-Vegetarian,Breakfast,-141,Large
232,Soup,19,2025-03-28,610,Supermarket,Allenton,Vegan,Lunch,-142,Medium
233,Fish,19,2025-03-26,26,Grocery Store,West Adammouth,Non-Vegetarian,Snacks,-144,Medium
234,Rice,10,2025-03-16,888,Supermarket,West Sharonview,Vegetarian,Dinner,-154,Medium
235,Dairy,38,2025-03-21,170,Catering Service,North Brentbury,Vegan,Lunch,-149,Large
236,Soup,50,2025-03-21,231,Supermarket,North Tom,Non-Vegetarian,Lunch,-149,Large
237,Salad,39,2025-03-27,643,Supermarket,North Ebony,Vegan,Dinner,-143,Large
238,Vegetables,2,2025-03-27,621,Supermarket,Sarahland,Vegetarian,Breakfast,-143,Small
239,Pasta,26,2025-03-17,372,Restaurant,Lewisberg,Vegan,Dinner,-153,Large
240,Fruits,46,2025-03-26,319,Restaurant,Lake Amymouth,Vegetarian,Lunch,-144,Large
241,Fish,4,2025-03-23,135,Catering Service,East Candace,Vegetarian,Breakfast,-147,Small
242,Soup,17,2025-03-21,655,Restaurant,Jimmyberg,Vegan,Dinner,-149,Medium
243,Fruits,30,2025-03-24,750,Supermarket,Michaelton,Non-Vegetarian,Snacks,-146,Large
244,Soup,17,2025-03-26,46,Grocery Store,South Lisaberg,Non-Vegetarian,Snacks,-144,Medium
245,Chicken,5,2025-03-16,48,Restaurant,Timothyview,Vegetarian,Dinner,-154,Medium
246,Salad,50,2025-03-28,768,Restaurant,South Danielle,Non-Vegetarian,Snacks,-142,Large
247,Fish,17,2025-03-30,47,Supermarket,East Andrewland,Non-Vegetarian,Lunch,-140,Medium
248,Vegetables,32,2025-03-21,960,Supermarket,Port Lance,Non-Vegetarian,Lunch,-149,Large
249,Salad,39,2025-03-28,596,Restaurant,Zimmermanville,Vegan,Breakfast,-142,Large
250,Bread,8,2025-03-16,316,Supermarket,Williamsfort,Vegan,Snacks,-154,Medium
251,Dairy,12,2025-03-24,241,Catering Service,Devinmouth,Non-Vegetarian,Lunch,-146,Medium
252,Chicken,18,2025-03-19,113,Catering Service,East Elizabethberg,Non-Vegetarian,Snacks,-151,Medium
253,Rice,20,2025-03-19,231,Supermarket,North Tom,Vegan,Snacks,-151,Medium
254,Rice,30,2025-03-24,703,Catering Service,Lake Jamestown,Non-Vegetarian,Lunch,-146,Large
255,Dairy,44,2025-03-24,825,Supermarket,South Bryan,Non-Vegetarian,Lunch,-146,Large
256,Rice,33,2025-03-28,384,Grocery Store,Jamesfurt,Non-Vegetarian,Dinner,-142,Large
257,Chicken,41,2025-03-25,344,Catering Service,North Nicholas,Vegan,Snacks,-145,Large
258,Fish,24,2025-03-21,101,Restaurant,East Angelafort,Vegetarian,Breakfast,-149,Large
259,Rice,44,2025-03-27,815,Grocery Store,Ashleyhaven,Non-Vegetarian,Snacks,-143,Large
260,Fruits,50,2025-03-29,723,Supermarket,Jessicaland,Vegetarian,Dinner,-141,Large
261,Pasta,15,2025-03-21,112,Restaurant,East Courtneymouth,Non-Vegetarian,Lunch,-149,Medium
262,Dairy,47,2025-03-30,693,Restaurant,Raybury,Vegetarian,Breakfast,-140,Large
263,Salad,21,2025-03-30,408,Supermarket,Riceshire,Vegetarian,Breakfast,-140,Large
264,Bread,49,2025-03-24,484,Restaurant,North Douglasfurt,Vegetarian,Dinner,-146,Large
265,Fruits,32,2025-03-26,862,Grocery Store,East Tammy,Non-Vegetarian,Breakfast,-144,Large
266,Soup,30,2025-03-23,589,Restaurant,Morganhaven,Vegetarian,Lunch,-147,Large
267,Soup,6,2025-03-30,107,Restaurant,West Lauraborough,Non-Vegetarian,Dinner,-140,Medium
268,Fish,21,2025-03-29,485,Restaurant,East Andrea,Non-Vegetarian,Breakfast,-141,Large
269,Soup,36,2025-03-28,595,Grocery Store,Port Matthew,Non-Vegetarian,Snacks,-142,Large
270,Pasta,29,2025-03-29,201,Catering Service,Sandrastad,Vegan,Lunch,-141,Large
271,Rice,22,2025-03-17,254,Restaurant,Reidland,Vegan,Breakfast,-153,Large
272,Vegetables,30,2025-03-25,151,Restaurant,Anthonyshire,Vegan,Dinner,-145,Large
273,Salad,32,2025-03-16,446,Catering Service,Port Richardshire,Non-Vegetarian,Lunch,-154,Large
274,Salad,37,2025-03-29,768,Restaurant,South Danielle,Vegan,Snacks,-141,Large
275,Fish,35,2025-03-24,657,Supermarket,Davidland,Non-Vegetarian,Breakfast,-146,Large
276,Fruits,47,2025-03-29,839,Grocery Store,Port Erin,Vegan,Breakfast,-141,Large
277,Pasta,30,2025-03-22,244,Supermarket,Toddberg,Non-Vegetarian,Lunch,-148,Large
278,Soup,35,2025-03-24,66,Restaurant,Lake Michaelfurt,Non-Vegetarian,Lunch,-146,Large
279,Chicken,3,2025-03-25,326,Supermarket,Lake Alicia,Non-Vegetarian,Lunch,-145,Small
